Date,Open,High,Low,Close,Total Trades,Traded Quantity
2015-10-07 00:00:00+05:30,163.8693426339353,169.68991216805335,163.51739888174774,167.93020629882812,118003,19816268.133880615
2015-10-08 00:00:00+05:30,167.93022920662426,171.42256882515164,163.27376778744488,166.71197509765625,132001,22006147.424865723
2015-10-09 00:00:00+05:30,168.3362943340307,169.5274756740547,158.42778859223972,160.70187377929688,138587,22271190.581451416
2015-10-12 00:00:00+05:30,162.27208454118494,162.27208454118494,152.7967395747121,154.17742919921875,80227,12369192.612365723
2015-10-13 00:00:00+05:30,154.31278947816025,160.53944831572343,153.79841011841523,159.91677856445312,74777,11958096.950714111
2015-10-14 00:00:00+05:30,160.2687341456106,166.1163770436933,158.7526814442664,164.95225524902344,105117,17339286.215011597
2015-10-15 00:00:00+05:30,166.22465808446302,167.84900109385808,164.60031507506793,165.14175415039062,101636,16784347.3248291
2015-10-16 00:00:00+05:30,163.5174139448048,166.9014759050935,163.5174139448048,166.06222534179688,53101,8818070.227874756
2015-10-19 00:00:00+05:30,166.22466683398684,167.84900992888205,161.37869725736394,163.6798553466797,80623,13196360.977615356
2015-10-20 00:00:00+05:30,164.60031114856042,165.1417502109672,159.75434194261314,160.16043090820312,69183,11080379.091522217
2015-10-21 00:00:00+05:30,159.72727798123037,162.59696060151438,158.0487897244172,158.6985321044922,45371,7200311.100112915
2015-10-23 00:00:00+05:30,159.94386203464046,165.06054470688002,159.78142643631088,160.53945922851562,60849,9768665.554595947
2015-10-26 00:00:00+05:30,160.67482391704542,162.4345300257431,157.64270560804982,159.13169860839844,46047,7327537.325820923
2015-10-27 00:00:00+05:30,157.29074269665392,158.50900954891594,155.01667035585695,156.23492431640625,37942,5927865.498413086
2015-10-28 00:00:00+05:30,154.88130592908163,158.64437105424554,150.92873262866502,155.77468872070312,83171,12955936.6355896
2015-10-29 00:00:00+05:30,153.77134642595226,156.5598112775041,151.3348253672398,152.4989471435547,59318,9045932.546661377
2015-10-30 00:00:00+05:30,153.2299094481187,155.39569165058182,151.6596986583473,152.0116424560547,49320,7497214.205932617
2015-11-02 00:00:00+05:30,152.14700573920985,153.1216193346805,149.16904553647794,150.14364624023438,45502,6831836.1912231445
2015-11-03 00:00:00+05:30,150.6850815271378,155.93712664514896,150.6850815271378,153.77133178710938,59557,9158159.207244873
2015-11-04 00:00:00+05:30,155.63933869247361,159.13169103537712,154.3127942470071,158.1300048828125,62144,9826831.0234375
2015-11-05 00:00:00+05:30,158.18414310783677,159.61897788493073,152.7967348755684,154.09620666503906,46697,7195830.562637329
2015-11-06 00:00:00+05:30,156.397361603952,156.45150679797692,148.32977926109038,151.09117126464844,71944,10870103.225463867
2015-11-09 00:00:00+05:30,148.89831051956415,154.31279149132513,146.8137333472206,150.68508911132812,35239,5309991.855194092
2015-11-10 00:00:00+05:30,149.5209796107753,151.22655343898202,148.57345148681938,149.41268920898438,22741,3397793.9653015137
